[2025-11-21 23:19:03.837] [info]  DiscordSplash.signalReady
[2025-11-21 23:19:03.893] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-21 23:19:03.895] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-11-21 23:19:03.899] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-21 23:19:03.900] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-11-21 23:19:03.902] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-21 23:19:03.902] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-11-21 23:19:03.903] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-21 23:19:03.904] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-11-21 23:19:03.905] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-21 23:19:03.906] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-11-21 23:19:03.907] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-21 23:19:03.907] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-11-21 23:19:03.908] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-21 23:19:03.909] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-11-21 23:19:04.255] [info]  DiscordSplash.onStateUpdate: {"status":"update-manually","current":6,"total":6,"newVersion":"0.0.811"}
[2025-11-21 23:19:04.256] [info]  Splash.onStateUpdate: {"status":"update-manually","current":6,"total":6,"newVersion":"0.0.811"}
[2025-11-21 23:19:04.837] [info]  Splash.updateCountdownSeconds: undefined
